Edad,ingreso anual,Consumo mensual,Localidad,Deuda,Antigüedad de la deuda (meses)
40,"$ 150.000,00 ",585000,zona 4,"$ 46.800,00 ",8
42,"$ 1.300.000,00 ",635000,zona 5,"$ 50.800,00 ",9
42,"$ 200.000,00 ",685000,zona 2,"$ 54.800,00 ",2
41,"$ 1.350.000,00 ",735000,zona 3,"$ 58.800,00 ",3
30,"$ 250.000,00 ",785000,zona 2,"$ 62.800,00 ",1
25,"$ 1.400.000,00 ",835000,zona 4,$ -   ,0
24,"$ 300.000,00 ",885000,zona 1,"$ 70.800,00 ",1
23,"$ 1.450.000,00 ",935000,zona 1,"$ 74.800,00 ",2
26,"$ 350.000,00 ",985000,zona 2,"$ 78.800,00 ",3
24,"$ 1.500.000,00 ",303000,zona 3,"$ 24.240,00 ",4
29,"$ 400.000,00 ",399000,zona 4,"$ 31.920,00 ",8
43,"$ 1.550.000,00 ",495000,zona 5,"$ 39.600,00 ",15
48,"$ 450.000,00 ",591000,zona 2,"$ 47.280,00 ",23
60,"$ 1.600.000,00 ",687000,zona 3,"$ 54.960,00 ",5
50,"$ 500.000,00 ",783000,zona 2,"$ 62.640,00 ",8
51,"$ 1.650.000,00 ",879000,zona 4,"$ 70.320,00 ",9
52,"$ 550.000,00 ",975000,zona 1,"$ 78.000,00 ",10
49,"$ 1.700.000,00 ",1071000,zona 1,"$ 85.680,00 ",8
48,"$ 600.000,00 ",1167000,zona 2,"$ 93.360,00 ",7
47,"$ 1.250.000,00 ",1263000,zona 3,"$ 101.040,00 ",6
46,"$ 1.200.000,00 ",85000,zona 4,"$ 6.800,00 ",5
45,"$ 1.150.000,00 ",135000,zona 5,"$ 10.800,00 ",6
44,"$ 1.100.000,00 ",185000,zona 2,"$ 14.800,00 ",7
43,"$ 1.050.000,00 ",235000,zona 3,"$ 18.800,00 ",9
42,"$ 1.000.000,00 ",285000,zona 2,"$ 22.800,00 ",2
28,"$ 950.000,00 ",335000,zona 4,"$ 26.800,00 ",3
30,"$ 1.030.000,00 ",385000,zona 1,"$ 30.800,00 ",1
31,"$ 1.110.000,00 ",435000,zona 1,$ -   ,0
32,"$ 1.190.000,00 ",485000,zona 2,"$ 38.800,00 ",1
33,"$ 1.270.000,00 ",535000,zona 3,"$ 42.800,00 ",2
34,"$ 1.350.000,00 ",585000,zona 4,"$ 46.800,00 ",3
35,"$ 1.430.000,00 ",635000,zona 5,"$ 50.800,00 ",4
36,"$ 1.510.000,00 ",685000,zona 2,"$ 54.800,00 ",8
25,"$ 1.250.000,00 ",735000,zona 3,"$ 58.800,00 ",15
29,"$ 1.200.000,00 ",785000,zona 2,$ -   ,0
30,"$ 1.150.000,00 ",835000,zona 4,"$ 66.800,00 ",5
35,"$ 1.100.000,00 ",885000,zona 1,"$ 70.800,00 ",8
40,"$ 1.050.000,00 ",935000,zona 1,"$ 74.800,00 ",9
42,"$ 1.000.000,00 ",985000,zona 2,"$ 78.800,00 ",10
42,"$ 950.000,00 ",85000,zona 3,"$ 6.800,00 ",8
41,"$ 1.030.000,00 ",135000,zona 4,"$ 10.800,00 ",7
30,"$ 1.110.000,00 ",185000,zona 5,"$ 14.800,00 ",6
25,"$ 1.190.000,00 ",235000,zona 2,"$ 18.800,00 ",5
24,"$ 1.270.000,00 ",285000,zona 3,$ -   ,0
23,"$ 1.350.000,00 ",335000,zona 2,"$ 26.800,00 ",7
26,"$ 1.430.000,00 ",385000,zona 4,"$ 30.800,00 ",9
24,"$ 1.510.000,00 ",435000,zona 1,"$ 34.800,00 ",2
29,"$ 950.000,00 ",485000,zona 1,"$ 38.800,00 ",3
43,"$ 1.030.000,00 ",535000,zona 2,"$ 42.800,00 ",1
48,"$ 1.110.000,00 ",585000,zona 3,$ -   ,0
60,"$ 1.190.000,00 ",635000,zona 4,"$ 50.800,00 ",1
50,"$ 1.270.000,00 ",685000,zona 5,"$ 54.800,00 ",2
51,"$ 1.350.000,00 ",735000,zona 2,"$ 58.800,00 ",3
52,"$ 1.430.000,00 ",785000,zona 3,"$ 62.800,00 ",4
49,"$ 1.510.000,00 ",835000,zona 2,"$ 66.800,00 ",8
48,"$ 1.250.000,00 ",885000,zona 4,"$ 70.800,00 ",15
47,"$ 1.200.000,00 ",935000,zona 1,"$ 74.800,00 ",23
46,"$ 1.150.000,00 ",985000,zona 1,"$ 78.800,00 ",5
45,"$ 1.100.000,00 ",35000,zona 2,"$ 2.800,00 ",8
44,"$ 1.250.000,00 ",85000,zona 3,"$ 6.800,00 ",9
43,"$ 1.200.000,00 ",135000,zona 4,"$ 10.800,00 ",10
42,"$ 1.150.000,00 ",185000,zona 5,"$ 14.800,00 ",8
28,"$ 1.100.000,00 ",235000,zona 2,"$ 18.800,00 ",7
30,"$ 1.050.000,00 ",285000,zona 3,"$ 22.800,00 ",6
31,"$ 1.000.000,00 ",335000,zona 2,"$ 26.800,00 ",5
32,"$ 950.000,00 ",385000,zona 4,"$ 30.800,00 ",6
33,"$ 1.030.000,00 ",435000,zona 1,"$ 34.800,00 ",7
34,"$ 1.110.000,00 ",485000,zona 1,"$ 38.800,00 ",9
35,"$ 1.190.000,00 ",535000,zona 2,"$ 42.800,00 ",2
36,"$ 1.270.000,00 ",585000,zona 3,"$ 46.800,00 ",3
25,"$ 1.350.000,00 ",635000,zona 4,"$ 50.800,00 ",1
29,"$ 1.430.000,00 ",685000,zona 5,$ -   ,0
30,"$ 1.510.000,00 ",735000,zona 2,"$ 58.800,00 ",1
35,"$ 1.250.000,00 ",785000,zona 3,"$ 62.800,00 ",2
40,"$ 1.200.000,00 ",835000,zona 2,"$ 66.800,00 ",3
42,"$ 1.150.000,00 ",885000,zona 4,"$ 70.800,00 ",4
42,"$ 1.100.000,00 ",935000,zona 1,"$ 74.800,00 ",8
41,"$ 1.050.000,00 ",985000,zona 1,"$ 78.800,00 ",15
30,"$ 1.000.000,00 ",303000,zona 2,$ -   ,0
25,"$ 950.000,00 ",399000,zona 3,"$ 31.920,00 ",5
24,"$ 1.030.000,00 ",495000,zona 4,"$ 39.600,00 ",8
23,"$ 1.110.000,00 ",591000,zona 5,"$ 47.280,00 ",9
26,"$ 1.190.000,00 ",687000,zona 2,"$ 54.960,00 ",10
24,"$ 1.270.000,00 ",783000,zona 3,"$ 62.640,00 ",8
29,"$ 1.350.000,00 ",879000,zona 2,"$ 70.320,00 ",7
43,"$ 1.430.000,00 ",975000,zona 4,"$ 78.000,00 ",6
48,"$ 1.510.000,00 ",1071000,zona 1,"$ 85.680,00 ",5
60,"$ 950.000,00 ",1167000,zona 1,$ -   ,0
50,"$ 1.030.000,00 ",1263000,zona 2,"$ 101.040,00 ",7
51,"$ 1.110.000,00 ",85000,zona 3,"$ 6.800,00 ",9
52,"$ 1.190.000,00 ",135000,zona 4,"$ 10.800,00 ",2
49,"$ 1.270.000,00 ",185000,zona 5,"$ 14.800,00 ",3
48,"$ 1.350.000,00 ",235000,zona 2,"$ 18.800,00 ",1
47,"$ 1.430.000,00 ",285000,zona 3,$ -   ,0
46,"$ 1.510.000,00 ",335000,zona 2,"$ 26.800,00 ",1
45,"$ 1.250.000,00 ",385000,zona 4,"$ 30.800,00 ",2
44,"$ 1.200.000,00 ",435000,zona 1,"$ 34.800,00 ",3
43,"$ 1.150.000,00 ",485000,zona 1,"$ 38.800,00 ",4
42,"$ 1.100.000,00 ",535000,zona 2,"$ 42.800,00 ",8
28,"$ 1.250.000,00 ",585000,zona 3,"$ 46.800,00 ",15
30,"$ 1.200.000,00 ",635000,zona 4,"$ 50.800,00 ",23
31,"$ 1.150.000,00 ",685000,zona 5,"$ 54.800,00 ",5
32,"$ 1.100.000,00 ",735000,zona 2,"$ 58.800,00 ",8
33,"$ 1.050.000,00 ",785000,zona 3,"$ 62.800,00 ",9
34,"$ 1.000.000,00 ",835000,zona 2,"$ 66.800,00 ",10
35,"$ 950.000,00 ",885000,zona 4,"$ 70.800,00 ",8
36,"$ 1.030.000,00 ",935000,zona 1,"$ 74.800,00 ",7
25,"$ 1.110.000,00 ",985000,zona 1,"$ 78.800,00 ",6
29,"$ 1.190.000,00 ",85000,zona 2,"$ 6.800,00 ",5
30,"$ 1.270.000,00 ",135000,zona 3,"$ 10.800,00 ",6
35,"$ 1.350.000,00 ",185000,zona 4,"$ 14.800,00 ",7
40,"$ 1.430.000,00 ",235000,zona 5,"$ 18.800,00 ",9
42,"$ 1.510.000,00 ",285000,zona 2,"$ 22.800,00 ",2
42,"$ 1.250.000,00 ",335000,zona 3,"$ 26.800,00 ",3
41,"$ 1.200.000,00 ",385000,zona 2,"$ 30.800,00 ",1
30,"$ 1.150.000,00 ",435000,zona 4,$ -   ,0
25,"$ 1.100.000,00 ",485000,zona 1,"$ 38.800,00 ",1
24,"$ 1.050.000,00 ",535000,zona 1,"$ 42.800,00 ",2
23,"$ 1.000.000,00 ",585000,zona 2,"$ 46.800,00 ",3
26,"$ 950.000,00 ",635000,zona 3,"$ 50.800,00 ",4
24,"$ 1.030.000,00 ",685000,zona 4,"$ 54.800,00 ",8
29,"$ 1.110.000,00 ",735000,zona 5,"$ 58.800,00 ",15
43,"$ 1.190.000,00 ",785000,zona 2,$ -   ,0
48,"$ 1.270.000,00 ",835000,zona 3,"$ 66.800,00 ",5
60,"$ 1.350.000,00 ",885000,zona 2,"$ 70.800,00 ",8
50,"$ 1.430.000,00 ",935000,zona 4,"$ 74.800,00 ",9
51,"$ 1.510.000,00 ",985000,zona 1,"$ 78.800,00 ",10
52,"$ 950.000,00 ",35000,zona 1,"$ 2.800,00 ",8
49,"$ 1.030.000,00 ",85000,zona 2,"$ 6.800,00 ",7
48,"$ 1.110.000,00 ",135000,zona 3,"$ 10.800,00 ",6
47,"$ 1.190.000,00 ",185000,zona 4,"$ 14.800,00 ",5
46,"$ 1.270.000,00 ",235000,zona 5,$ -   ,0
45,"$ 1.350.000,00 ",285000,zona 2,"$ 22.800,00 ",7
44,"$ 1.430.000,00 ",335000,zona 3,"$ 26.800,00 ",9
43,"$ 1.510.000,00 ",385000,zona 2,"$ 30.800,00 ",2
42,"$ 1.250.000,00 ",435000,zona 4,"$ 34.800,00 ",3
28,"$ 1.200.000,00 ",485000,zona 1,"$ 38.800,00 ",1
30,"$ 1.150.000,00 ",535000,zona 1,$ -   ,0
31,"$ 1.100.000,00 ",585000,zona 2,"$ 46.800,00 ",1
32,"$ 1.250.000,00 ",635000,zona 3,"$ 50.800,00 ",2
33,"$ 1.200.000,00 ",685000,zona 4,"$ 54.800,00 ",3
34,"$ 1.150.000,00 ",735000,zona 5,"$ 58.800,00 ",4
35,"$ 1.100.000,00 ",785000,zona 2,"$ 62.800,00 ",8
36,"$ 1.050.000,00 ",835000,zona 3,"$ 66.800,00 ",15
25,"$ 1.000.000,00 ",885000,zona 2,"$ 70.800,00 ",23
29,"$ 950.000,00 ",935000,zona 4,"$ 74.800,00 ",5
30,"$ 1.030.000,00 ",985000,zona 1,"$ 78.800,00 ",8
35,"$ 1.110.000,00 ",303000,zona 1,"$ 24.240,00 ",9
40,"$ 1.190.000,00 ",399000,zona 2,"$ 31.920,00 ",10
42,"$ 1.270.000,00 ",495000,zona 3,"$ 39.600,00 ",8
42,"$ 1.350.000,00 ",591000,zona 4,"$ 47.280,00 ",7
41,"$ 1.430.000,00 ",687000,zona 5,"$ 54.960,00 ",6
30,"$ 1.510.000,00 ",783000,zona 2,"$ 62.640,00 ",5
25,"$ 1.250.000,00 ",879000,zona 3,"$ 70.320,00 ",6
24,"$ 1.200.000,00 ",975000,zona 2,"$ 78.000,00 ",7
23,"$ 1.150.000,00 ",1071000,zona 4,"$ 85.680,00 ",9
26,"$ 1.100.000,00 ",1167000,zona 1,"$ 93.360,00 ",2
24,"$ 1.050.000,00 ",1263000,zona 1,"$ 101.040,00 ",3
29,"$ 1.000.000,00 ",85000,zona 2,"$ 6.800,00 ",1
43,"$ 950.000,00 ",135000,zona 3,$ -   ,0
48,"$ 1.030.000,00 ",185000,zona 4,"$ 14.800,00 ",1
60,"$ 1.110.000,00 ",235000,zona 5,"$ 18.800,00 ",2
50,"$ 1.190.000,00 ",285000,zona 2,"$ 22.800,00 ",3
51,"$ 1.270.000,00 ",335000,zona 3,"$ 26.800,00 ",4
52,"$ 1.350.000,00 ",385000,zona 2,"$ 30.800,00 ",8
49,"$ 1.430.000,00 ",435000,zona 4,"$ 34.800,00 ",15
48,"$ 1.510.000,00 ",485000,zona 1,$ -   ,0
47,"$ 950.000,00 ",535000,zona 1,"$ 42.800,00 ",5
46,"$ 1.030.000,00 ",585000,zona 2,"$ 46.800,00 ",8
45,"$ 1.110.000,00 ",635000,zona 3,"$ 50.800,00 ",9
44,"$ 1.190.000,00 ",685000,zona 4,"$ 54.800,00 ",10
43,"$ 1.270.000,00 ",735000,zona 5,"$ 58.800,00 ",8
42,"$ 1.350.000,00 ",785000,zona 2,"$ 62.800,00 ",7
28,"$ 1.430.000,00 ",835000,zona 3,"$ 66.800,00 ",6
30,"$ 1.510.000,00 ",885000,zona 2,"$ 70.800,00 ",5
31,"$ 1.250.000,00 ",935000,zona 4,$ -   ,0
32,"$ 1.200.000,00 ",985000,zona 1,"$ 78.800,00 ",7
33,"$ 1.150.000,00 ",305000,zona 1,"$ 24.400,00 ",9
34,"$ 1.100.000,00 ",335000,zona 2,$ -   ,0
35,"$ 1.250.000,00 ",365000,zona 3,$ -   ,0
36,"$ 1.200.000,00 ",395000,zona 4,"$ 31.600,00 ",4
25,"$ 1.150.000,00 ",425000,zona 5,"$ 34.000,00 ",8
29,"$ 1.100.000,00 ",455000,zona 2,"$ 36.400,00 ",7
30,"$ 1.050.000,00 ",485000,zona 3,"$ 38.800,00 ",9
35,"$ 1.000.000,00 ",515000,zona 2,"$ 41.200,00 ",6
40,"$ 950.000,00 ",545000,zona 4,$ -   ,0
42,"$ 1.030.000,00 ",575000,zona 1,$ -   ,0
42,"$ 1.110.000,00 ",335000,zona 1,"$ 26.800,00 ",7
41,"$ 1.190.000,00 ",385000,zona 2,"$ 30.800,00 ",8
30,"$ 1.270.000,00 ",435000,zona 3,"$ 34.800,00 ",9
25,"$ 1.350.000,00 ",485000,zona 4,"$ 38.800,00 ",2
24,"$ 1.430.000,00 ",535000,zona 5,"$ 42.800,00 ",3
23,"$ 1.510.000,00 ",585000,zona 2,"$ 46.800,00 ",1
26,"$ 1.250.000,00 ",635000,zona 3,$ -   ,0
24,"$ 1.200.000,00 ",685000,zona 2,"$ 54.800,00 ",1
29,"$ 1.150.000,00 ",735000,zona 4,"$ 58.800,00 ",2
43,"$ 1.100.000,00 ",785000,zona 1,"$ 62.800,00 ",3
48,"$ 1.050.000,00 ",835000,zona 1,"$ 66.800,00 ",4
60,"$ 1.000.000,00 ",885000,zona 2,"$ 70.800,00 ",8
50,"$ 950.000,00 ",935000,zona 3,"$ 74.800,00 ",15
51,"$ 1.030.000,00 ",985000,zona 4,"$ 78.800,00 ",23
52,"$ 1.110.000,00 ",250000,zona 5,"$ 20.000,00 ",5
49,"$ 1.190.000,00 ",275000,zona 2,"$ 22.000,00 ",8
48,"$ 1.270.000,00 ",245000,zona 3,"$ 19.600,00 ",9
47,"$ 1.350.000,00 ",275000,zona 2,"$ 22.000,00 ",10
46,"$ 1.430.000,00 ",305000,zona 4,"$ 24.400,00 ",8
45,"$ 1.510.000,00 ",335000,zona 1,"$ 26.800,00 ",7
44,"$ 950.000,00 ",365000,zona 1,"$ 29.200,00 ",6
43,"$ 1.030.000,00 ",395000,zona 2,"$ 31.600,00 ",5
42,"$ 1.110.000,00 ",425000,zona 3,"$ 34.000,00 ",6
28,"$ 1.190.000,00 ",455000,zona 4,"$ 36.400,00 ",7
30,"$ 1.270.000,00 ",485000,zona 5,"$ 38.800,00 ",9
31,"$ 1.350.000,00 ",515000,zona 2,"$ 41.200,00 ",2
32,"$ 1.430.000,00 ",545000,zona 3,"$ 43.600,00 ",3
33,"$ 1.510.000,00 ",575000,zona 2,"$ 46.000,00 ",1
34,"$ 1.250.000,00 ",515000,zona 4,$ -   ,0
35,"$ 1.200.000,00 ",545000,zona 1,"$ 43.600,00 ",1
36,"$ 1.150.000,00 ",575000,zona 1,"$ 46.000,00 ",2
25,"$ 1.100.000,00 ",250000,zona 2,"$ 20.000,00 ",3
29,"$ 1.250.000,00 ",275000,zona 3,"$ 22.000,00 ",4
30,"$ 1.200.000,00 ",245000,zona 4,"$ 19.600,00 ",8
35,"$ 1.150.000,00 ",275000,zona 5,"$ 22.000,00 ",15
40,"$ 1.100.000,00 ",305000,zona 2,$ -   ,0
42,"$ 1.050.000,00 ",335000,zona 3,"$ 26.800,00 ",5
42,"$ 1.000.000,00 ",365000,zona 2,"$ 29.200,00 ",8
41,"$ 950.000,00 ",395000,zona 4,"$ 31.600,00 ",9
30,"$ 1.030.000,00 ",425000,zona 1,"$ 34.000,00 ",10
25,"$ 1.110.000,00 ",455000,zona 1,"$ 36.400,00 ",8
24,"$ 1.190.000,00 ",485000,zona 2,"$ 38.800,00 ",7
23,"$ 1.270.000,00 ",515000,zona 3,"$ 41.200,00 ",6
26,"$ 1.350.000,00 ",545000,zona 4,"$ 43.600,00 ",5
24,"$ 1.430.000,00 ",575000,zona 5,$ -   ,0
29,"$ 1.510.000,00 ",275001,zona 2,"$ 22.000,08 ",7
43,"$ 1.250.000,00 ",245001,zona 3,"$ 19.600,08 ",9
48,"$ 1.200.000,00 ",250002,zona 2,"$ 20.000,16 ",2
60,"$ 1.150.000,00 ",275002,zona 4,"$ 22.000,16 ",3
50,"$ 1.100.000,00 ",245002,zona 1,"$ 19.600,16 ",1
51,"$ 1.050.000,00 ",250003,zona 1,$ -   ,0
52,"$ 1.000.000,00 ",275003,zona 2,"$ 22.000,24 ",1
49,"$ 950.000,00 ",245003,zona 3,"$ 19.600,24 ",2
48,"$ 1.030.000,00 ",250004,zona 4,"$ 20.000,32 ",3
47,"$ 1.110.000,00 ",275004,zona 5,"$ 22.000,32 ",4
46,"$ 1.190.000,00 ",245004,zona 2,"$ 19.600,32 ",8
45,"$ 1.270.000,00 ",250005,zona 3,"$ 20.000,40 ",15
44,"$ 1.350.000,00 ",275005,zona 2,"$ 22.000,40 ",23
43,"$ 1.430.000,00 ",245005,zona 4,"$ 19.600,40 ",5
42,"$ 1.510.000,00 ",250006,zona 1,"$ 20.000,48 ",8
28,"$ 950.000,00 ",275006,zona 1,"$ 22.000,48 ",9
30,"$ 1.030.000,00 ",245006,zona 2,"$ 19.600,48 ",10
31,"$ 1.110.000,00 ",250007,zona 3,"$ 20.000,56 ",8
32,"$ 1.190.000,00 ",275007,zona 4,"$ 22.000,56 ",7
33,"$ 1.270.000,00 ",245007,zona 5,"$ 19.600,56 ",6
34,"$ 1.350.000,00 ",250008,zona 2,"$ 20.000,64 ",5
35,"$ 1.430.000,00 ",275008,zona 3,"$ 22.000,64 ",6
36,"$ 1.510.000,00 ",245008,zona 2,"$ 19.600,64 ",7
25,"$ 1.250.000,00 ",60000,zona 4,"$ 4.800,00 ",9
29,"$ 1.200.000,00 ",90000,zona 1,"$ 7.200,00 ",2
30,"$ 1.150.000,00 ",65000,zona 1,"$ 5.200,00 ",3
35,"$ 1.100.000,00 ",40000,zona 2,"$ 3.200,00 ",1
40,"$ 1.250.000,00 ",15000,zona 3,$ -   ,0
42,"$ 1.200.000,00 ",111000,zona 4,"$ 8.880,00 ",1
42,"$ 1.150.000,00 ",207000,zona 5,"$ 16.560,00 ",2
41,"$ 1.100.000,00 ",303000,zona 2,"$ 24.240,00 ",3
30,"$ 1.050.000,00 ",399000,zona 3,"$ 31.920,00 ",4
25,"$ 1.000.000,00 ",495000,zona 2,"$ 39.600,00 ",8
24,"$ 950.000,00 ",591000,zona 4,"$ 47.280,00 ",15
23,"$ 1.030.000,00 ",687000,zona 1,$ -   ,0
26,"$ 1.110.000,00 ",783000,zona 1,"$ 62.640,00 ",5
24,"$ 1.190.000,00 ",879000,zona 2,"$ 70.320,00 ",8
29,"$ 1.270.000,00 ",975000,zona 3,"$ 78.000,00 ",9
43,"$ 1.350.000,00 ",1071000,zona 4,"$ 85.680,00 ",10
48,"$ 1.430.000,00 ",1167000,zona 5,"$ 93.360,00 ",8
60,"$ 1.510.000,00 ",1263000,zona 2,"$ 101.040,00 ",7
50,"$ 1.250.000,00 ",275000,zona 3,"$ 22.000,00 ",6
51,"$ 1.200.000,00 ",305000,zona 2,"$ 24.400,00 ",5
52,"$ 1.150.000,00 ",335000,zona 4,$ -   ,0
49,"$ 1.100.000,00 ",365000,zona 1,"$ 29.200,00 ",7
48,"$ 1.050.000,00 ",395000,zona 1,"$ 31.600,00 ",9
47,"$ 1.000.000,00 ",425000,zona 2,"$ 34.000,00 ",2
46,"$ 950.000,00 ",455000,zona 3,"$ 36.400,00 ",3
45,"$ 1.030.000,00 ",485000,zona 4,"$ 38.800,00 ",1
44,"$ 1.110.000,00 ",515000,zona 5,$ -   ,0
43,"$ 1.190.000,00 ",545000,zona 2,"$ 43.600,00 ",1
42,"$ 1.270.000,00 ",575000,zona 3,"$ 46.000,00 ",2
28,"$ 1.350.000,00 ",250003,zona 2,"$ 20.000,24 ",3
30,"$ 1.430.000,00 ",275003,zona 4,"$ 22.000,24 ",4
31,"$ 1.510.000,00 ",245003,zona 1,"$ 19.600,24 ",8
32,"$ 950.000,00 ",250004,zona 1,"$ 20.000,32 ",15
33,"$ 1.030.000,00 ",275004,zona 2,"$ 22.000,32 ",23
34,"$ 1.110.000,00 ",245004,zona 3,"$ 19.600,32 ",5
35,"$ 1.190.000,00 ",250005,zona 4,"$ 20.000,40 ",8
36,"$ 1.270.000,00 ",275005,zona 5,"$ 22.000,40 ",9
25,"$ 1.350.000,00 ",245005,zona 2,"$ 19.600,40 ",10
29,"$ 1.430.000,00 ",250006,zona 3,"$ 20.000,48 ",8
30,"$ 1.510.000,00 ",275006,zona 2,"$ 22.000,48 ",7
35,"$ 1.250.000,00 ",245006,zona 4,"$ 19.600,48 ",6
40,"$ 1.200.000,00 ",250007,zona 1,"$ 20.000,56 ",5
42,"$ 1.150.000,00 ",275007,zona 1,"$ 22.000,56 ",6
42,"$ 1.100.000,00 ",245007,zona 2,"$ 19.600,56 ",7
41,"$ 1.250.000,00 ",250008,zona 3,"$ 20.000,64 ",9
30,"$ 1.200.000,00 ",275008,zona 4,"$ 22.000,64 ",2
25,"$ 1.150.000,00 ",245008,zona 5,"$ 19.600,64 ",3
24,"$ 1.100.000,00 ",60000,zona 2,"$ 4.800,00 ",1
23,"$ 1.050.000,00 ",90000,zona 3,$ -   ,0
26,"$ 1.000.000,00 ",65000,zona 2,"$ 5.200,00 ",1
24,"$ 950.000,00 ",40000,zona 4,"$ 3.200,00 ",2
29,"$ 1.030.000,00 ",15000,zona 1,"$ 1.200,00 ",3
43,"$ 1.110.000,00 ",111000,zona 1,"$ 8.880,00 ",4
48,"$ 1.190.000,00 ",207000,zona 2,"$ 16.560,00 ",8
60,"$ 1.270.000,00 ",303000,zona 3,"$ 24.240,00 ",15
50,"$ 1.350.000,00 ",399000,zona 4,$ -   ,0
51,"$ 1.430.000,00 ",495000,zona 5,"$ 39.600,00 ",5
52,"$ 1.510.000,00 ",591000,zona 2,"$ 47.280,00 ",8
49,"$ 1.250.000,00 ",687000,zona 3,"$ 54.960,00 ",9
48,"$ 1.200.000,00 ",783000,zona 2,"$ 62.640,00 ",10
47,"$ 1.150.000,00 ",879000,zona 4,"$ 70.320,00 ",8
46,"$ 1.100.000,00 ",975000,zona 1,"$ 78.000,00 ",7
45,"$ 1.050.000,00 ",1071000,zona 1,"$ 85.680,00 ",6
44,"$ 1.000.000,00 ",1167000,zona 2,"$ 93.360,00 ",5
43,"$ 950.000,00 ",1263000,zona 3,$ -   ,0
42,"$ 1.030.000,00 ",275000,zona 4,"$ 22.000,00 ",7
28,"$ 1.110.000,00 ",305000,zona 5,"$ 24.400,00 ",9
30,"$ 1.190.000,00 ",335000,zona 2,"$ 26.800,00 ",2
31,"$ 1.270.000,00 ",365000,zona 3,"$ 29.200,00 ",3
32,"$ 1.350.000,00 ",395000,zona 2,"$ 31.600,00 ",1
33,"$ 1.430.000,00 ",425000,zona 4,$ -   ,0
34,"$ 1.510.000,00 ",455000,zona 1,"$ 36.400,00 ",1
35,"$ 950.000,00 ",485000,zona 1,"$ 38.800,00 ",2
36,"$ 1.030.000,00 ",515000,zona 2,"$ 41.200,00 ",3
25,"$ 1.110.000,00 ",545000,zona 3,"$ 43.600,00 ",4
29,"$ 1.190.000,00 ",575000,zona 4,"$ 46.000,00 ",8
30,"$ 1.270.000,00 ",207000,zona 5,"$ 16.560,00 ",15
35,"$ 1.350.000,00 ",303000,zona 2,"$ 24.240,00 ",23
40,"$ 1.430.000,00 ",399000,zona 3,"$ 31.920,00 ",5
42,"$ 1.510.000,00 ",495000,zona 2,"$ 39.600,00 ",8
42,"$ 1.250.000,00 ",591000,zona 4,"$ 47.280,00 ",9
41,"$ 1.200.000,00 ",687000,zona 1,"$ 54.960,00 ",10
30,"$ 1.150.000,00 ",783000,zona 1,"$ 62.640,00 ",8
25,"$ 1.100.000,00 ",879000,zona 2,"$ 70.320,00 ",7
24,"$ 1.150.000,00 ",975000,zona 3,"$ 78.000,00 ",6
23,"$ 50.000,00 ",1071000,zona 4,"$ 85.680,00 ",5
26,"$ 1.200.000,00 ",1167000,zona 5,"$ 93.360,00 ",6
24,"$ 100.000,00 ",1263000,zona 2,"$ 101.040,00 ",7
29,"$ 1.250.000,00 ",275000,zona 3,"$ 22.000,00 ",9
43,"$ 150.000,00 ",305000,zona 2,"$ 24.400,00 ",2
48,"$ 1.300.000,00 ",335000,zona 4,"$ 26.800,00 ",3
60,"$ 200.000,00 ",365000,zona 1,"$ 29.200,00 ",1
50,"$ 1.350.000,00 ",395000,zona 1,$ -   ,0
51,"$ 250.000,00 ",425000,zona 2,"$ 34.000,00 ",1
52,"$ 1.400.000,00 ",455000,zona 3,"$ 36.400,00 ",2
49,"$ 300.000,00 ",485000,zona 4,"$ 38.800,00 ",3
48,"$ 1.450.000,00 ",515000,zona 5,"$ 41.200,00 ",4
47,"$ 350.000,00 ",545000,zona 2,"$ 43.600,00 ",8
46,"$ 1.500.000,00 ",575000,zona 3,"$ 46.000,00 ",15
45,"$ 400.000,00 ",207000,zona 2,$ -   ,0
44,"$ 1.550.000,00 ",303000,zona 4,"$ 24.240,00 ",5
43,"$ 450.000,00 ",399000,zona 1,"$ 31.920,00 ",8
42,"$ 1.600.000,00 ",495000,zona 1,"$ 39.600,00 ",9
28,"$ 500.000,00 ",591000,zona 2,"$ 47.280,00 ",10
30,"$ 1.650.000,00 ",687000,zona 3,"$ 54.960,00 ",8
31,"$ 550.000,00 ",783000,zona 4,"$ 62.640,00 ",7
32,"$ 1.700.000,00 ",879000,zona 5,"$ 70.320,00 ",6
33,"$ 600.000,00 ",975000,zona 2,"$ 78.000,00 ",5
34,"$ 600.000,00 ",1071000,zona 3,$ -   ,0
35,"$ 1.150.000,00 ",1167000,zona 2,"$ 93.360,00 ",7
36,"$ 50.000,00 ",1263000,zona 4,"$ 101.040,00 ",9
25,"$ 1.200.000,00 ",275000,zona 1,$ -   ,0
29,"$ 100.000,00 ",305000,zona 1,$ -   ,0
30,"$ 1.250.000,00 ",335000,zona 2,"$ 26.800,00 ",4
35,"$ 150.000,00 ",365000,zona 3,"$ 29.200,00 ",8
40,"$ 1.300.000,00 ",395000,zona 4,"$ 31.600,00 ",7
42,"$ 200.000,00 ",425000,zona 5,"$ 34.000,00 ",9
42,"$ 1.350.000,00 ",455000,zona 2,"$ 36.400,00 ",6
41,"$ 250.000,00 ",485000,zona 3,$ -   ,0
30,"$ 1.400.000,00 ",515000,zona 2,$ -   ,0
